canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,technical_callback_compatibility,agent_login_allowed,vicidial_user_group_id,vicidial_inbound_group_id,default_list_id,vicidial_script_id,disposition_set_key,email_alias_key,catalog_status
SCP-PRODUCT-IN,SCPPRODI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-ORDER-IN,SCPORDRI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-SUPPORT-IN,SCPSUPPI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-WARRANTY-IN,SCPWARRI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-BILLING-IN,SCPBILLI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-CAREGIVER-IN,SCPCAREI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
SCP-APPOINTMENT-IN,SCPAPPTI,SCP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-NEW-LOAN-OUT,MBLNEWLO,MBL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-DOCUMENTS-OUT,MBLDOCSO,MBL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-OFFER-OUT,MBLOFFRO,MBL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-FUNDING-OUT,MBLFUNDO,MBL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-RENEWAL-OUT,MBLRENEO,MBL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-CALLBACK-OUT,MBLCBCKO,MBL,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-LOAN-IN,MBLLOANI,MBL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-DOCUMENTS-IN,MBLDOCSI,MBL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-STATUS-IN,MBLSTATI,MBL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-SUPPORT-IN,MBLSUPPI,MBL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
MBL-APPOINTMENT-IN,MBLAPPTI,MBL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-BUYERS-OUT,RLPBUYRO,RLP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-SELLERS-OUT,RLPSELLO,RLP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-INVESTORS-OUT,RLPINVSO,RLP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-RENTALS-OUT,RLPRENTO,RLP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-FOLLOWUP-OUT,RLPFOLWO,RLP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-CALLBACK-OUT,RLPCBCKO,RLP,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-BUYERS-IN,RLPBUYRI,RLP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-SELLERS-IN,RLPSELLI,RLP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-INVESTORS-IN,RLPINVSI,RLP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-PROPERTY-IN,RLPPROPI,RLP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
RLP-APPOINTMENT-IN,RLPAPPTI,RLP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-DONOR-OUT,FTPDONRO,FTP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-SPONSOR-OUT,FTPSPONO,FTP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-PLEDGE-OUT,FTPPLDGO,FTP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-RETENTION-OUT,FTPRETNO,FTP,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-CALLBACK-OUT,FTPCBCKO,FTP,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-DONATIONS-IN,FTPDONTI,FTP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-DONOR-SUPPORT-IN,FTPDNSPI,FTP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-SPONSOR-IN,FTPSPONI,FTP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
FTP-APPOINTMENT-IN,FTPAPPTI,FTP,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-SALES-OUT,TRXSALEO,TRX,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-DEMO-OUT,TRXDEMOO,TRX,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-TRIAL-OUT,TRXTRILO,TRX,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-ONBOARDING-OUT,TRXONBDO,TRX,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-RENEWAL-OUT,TRXRENEO,TRX,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-CALLBACK-OUT,TRXCBCKO,TRX,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-SALES-IN,TRXSALEI,TRX,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-DEMO-IN,TRXDEMOI,TRX,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-SUPPORT-IN,TRXSUPPI,TRX,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-BILLING-IN,TRXBILLI,TRX,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
TRX-APPOINTMENT-IN,TRXAPPTI,TRX,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-WHOLESALE-OUT,CALWHSLO,CAL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-EXPORT-OUT,CALEXPTO,CAL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-PARTNERS-OUT,CALPARTO,CAL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-REORDER-OUT,CALREORO,CAL,OUT,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-CALLBACK-OUT,CALCBCKO,CAL,OUT,TRUE,FALSE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-BUYERS-IN,CALBUYRI,CAL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-EXPORT-IN,CALEXPTI,CAL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-SUPPORT-IN,CALSUPPI,CAL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
CAL-APPOINTMENT-IN,CALAPPTI,CAL,IN,FALSE,TRUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL
