canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,catalog_vicidial_script_id,canonical_owner,external_publication_enabled,external_readback_status,status
COD-BILLING-IN,CODBILLI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
COD-APPOINTMENT-IN,CODAPPTI,COD,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-PRODUCT-OUT,SCPPRODO,SCP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-CAREGIVER-OUT,SCPCAREO,SCP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-REORDER-OUT,SCPREORO,SCP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-RETENTION-OUT,SCPRETNO,SCP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-UPSELL-OUT,SCPUPSLO,SCP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-CALLBACK-OUT,SCPCBCKO,SCP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-PRODUCT-IN,SCPPRODI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-ORDER-IN,SCPORDRI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-SUPPORT-IN,SCPSUPPI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-WARRANTY-IN,SCPWARRI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-BILLING-IN,SCPBILLI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-CAREGIVER-IN,SCPCAREI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
SCP-APPOINTMENT-IN,SCPAPPTI,SCP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-NEW-LOAN-OUT,MBLNEWLO,MBL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-DOCUMENTS-OUT,MBLDOCSO,MBL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-OFFER-OUT,MBLOFFRO,MBL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-FUNDING-OUT,MBLFUNDO,MBL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-RENEWAL-OUT,MBLRENEO,MBL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-CALLBACK-OUT,MBLCBCKO,MBL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-LOAN-IN,MBLLOANI,MBL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-DOCUMENTS-IN,MBLDOCSI,MBL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-STATUS-IN,MBLSTATI,MBL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-SUPPORT-IN,MBLSUPPI,MBL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
MBL-APPOINTMENT-IN,MBLAPPTI,MBL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-BUYERS-OUT,RLPBUYRO,RLP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-SELLERS-OUT,RLPSELLO,RLP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-INVESTORS-OUT,RLPINVSO,RLP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-RENTALS-OUT,RLPRENTO,RLP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-FOLLOWUP-OUT,RLPFOLWO,RLP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-CALLBACK-OUT,RLPCBCKO,RLP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-BUYERS-IN,RLPBUYRI,RLP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-SELLERS-IN,RLPSELLI,RLP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-INVESTORS-IN,RLPINVSI,RLP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-PROPERTY-IN,RLPPROPI,RLP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
RLP-APPOINTMENT-IN,RLPAPPTI,RLP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-DONOR-OUT,FTPDONRO,FTP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-SPONSOR-OUT,FTPSPONO,FTP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-PLEDGE-OUT,FTPPLDGO,FTP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-RETENTION-OUT,FTPRETNO,FTP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-CALLBACK-OUT,FTPCBCKO,FTP,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-DONATIONS-IN,FTPDONTI,FTP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-DONOR-SUPPORT-IN,FTPDNSPI,FTP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-SPONSOR-IN,FTPSPONI,FTP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
FTP-APPOINTMENT-IN,FTPAPPTI,FTP,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-SALES-OUT,TRXSALEO,TRX,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-DEMO-OUT,TRXDEMOO,TRX,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-TRIAL-OUT,TRXTRILO,TRX,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-ONBOARDING-OUT,TRXONBDO,TRX,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-RENEWAL-OUT,TRXRENEO,TRX,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-CALLBACK-OUT,TRXCBCKO,TRX,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-SALES-IN,TRXSALEI,TRX,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-DEMO-IN,TRXDEMOI,TRX,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-SUPPORT-IN,TRXSUPPI,TRX,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-BILLING-IN,TRXBILLI,TRX,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
TRX-APPOINTMENT-IN,TRXAPPTI,TRX,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-WHOLESALE-OUT,CALWHSLO,CAL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-EXPORT-OUT,CALEXPTO,CAL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-PARTNERS-OUT,CALPARTO,CAL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-REORDER-OUT,CALREORO,CAL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-CALLBACK-OUT,CALCBCKO,CAL,OUT,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-BUYERS-IN,CALBUYRI,CAL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-EXPORT-IN,CALEXPTI,CAL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-SUPPORT-IN,CALSUPPI,CAL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
CAL-APPOINTMENT-IN,CALAPPTI,CAL,IN,MISSING,cc.script/cc.script.version,FALSE,NOT_TESTED,PARTIAL
