canonical_campaign_code,business_unit_code,direction,quality_program_status,scorecard_status,sampling_status,evaluation_status,separate_finalizer_status,calibration_status,dispute_status,coaching_status,ai_assist_enabled,status
COD-ODOO-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-SUPPORT-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-BILLING-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
COD-APPOINTMENT-IN,COD,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-PRODUCT-OUT,SCP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-CAREGIVER-OUT,SCP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-REORDER-OUT,SCP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-RETENTION-OUT,SCP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-UPSELL-OUT,SCP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-CALLBACK-OUT,SCP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-PRODUCT-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-ORDER-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-SUPPORT-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-WARRANTY-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-BILLING-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-CAREGIVER-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
SCP-APPOINTMENT-IN,SCP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-NEW-LOAN-OUT,MBL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-DOCUMENTS-OUT,MBL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-OFFER-OUT,MBL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-FUNDING-OUT,MBL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-RENEWAL-OUT,MBL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-CALLBACK-OUT,MBL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-LOAN-IN,MBL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-DOCUMENTS-IN,MBL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-STATUS-IN,MBL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-SUPPORT-IN,MBL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
MBL-APPOINTMENT-IN,MBL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-BUYERS-OUT,RLP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-SELLERS-OUT,RLP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-INVESTORS-OUT,RLP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-RENTALS-OUT,RLP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-FOLLOWUP-OUT,RLP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-CALLBACK-OUT,RLP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-BUYERS-IN,RLP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-SELLERS-IN,RLP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-INVESTORS-IN,RLP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-PROPERTY-IN,RLP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
RLP-APPOINTMENT-IN,RLP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-DONOR-OUT,FTP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-SPONSOR-OUT,FTP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-PLEDGE-OUT,FTP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-RETENTION-OUT,FTP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-CALLBACK-OUT,FTP,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-DONATIONS-IN,FTP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-DONOR-SUPPORT-IN,FTP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-SPONSOR-IN,FTP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
FTP-APPOINTMENT-IN,FTP,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-SALES-OUT,TRX,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-DEMO-OUT,TRX,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-TRIAL-OUT,TRX,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-ONBOARDING-OUT,TRX,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-RENEWAL-OUT,TRX,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-CALLBACK-OUT,TRX,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-SALES-IN,TRX,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-DEMO-IN,TRX,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-SUPPORT-IN,TRX,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-BILLING-IN,TRX,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
TRX-APPOINTMENT-IN,TRX,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-WHOLESALE-OUT,CAL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-EXPORT-OUT,CAL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-PARTNERS-OUT,CAL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-REORDER-OUT,CAL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-CALLBACK-OUT,CAL,OUT,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-BUYERS-IN,CAL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-EXPORT-IN,CAL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-SUPPORT-IN,CAL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
CAL-APPOINTMENT-IN,CAL,IN,MISSING,MISSING,NOT_TESTED,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,STAGING_READY,FALSE,PARTIAL
