canonical_campaign_code,business_unit_code,direction,email_alias_key,odoo_route_status,external_send_enabled,inbound_mutation_enabled,evidence_status
SCP-CAREGIVER-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
SCP-APPOINTMENT-IN,SCP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-NEW-LOAN-OUT,MBL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-DOCUMENTS-OUT,MBL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-OFFER-OUT,MBL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-FUNDING-OUT,MBL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-RENEWAL-OUT,MBL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-CALLBACK-OUT,MBL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-LOAN-IN,MBL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-DOCUMENTS-IN,MBL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-STATUS-IN,MBL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-SUPPORT-IN,MBL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
MBL-APPOINTMENT-IN,MBL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-BUYERS-OUT,RLP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-SELLERS-OUT,RLP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-INVESTORS-OUT,RLP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-RENTALS-OUT,RLP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-FOLLOWUP-OUT,RLP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-CALLBACK-OUT,RLP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-BUYERS-IN,RLP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-SELLERS-IN,RLP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-INVESTORS-IN,RLP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-PROPERTY-IN,RLP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
RLP-APPOINTMENT-IN,RLP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-DONOR-OUT,FTP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-SPONSOR-OUT,FTP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-PLEDGE-OUT,FTP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-RETENTION-OUT,FTP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-CALLBACK-OUT,FTP,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-DONATIONS-IN,FTP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-DONOR-SUPPORT-IN,FTP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-SPONSOR-IN,FTP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
FTP-APPOINTMENT-IN,FTP,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-SALES-OUT,TRX,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-DEMO-OUT,TRX,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-TRIAL-OUT,TRX,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-ONBOARDING-OUT,TRX,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-RENEWAL-OUT,TRX,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-CALLBACK-OUT,TRX,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-SALES-IN,TRX,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-DEMO-IN,TRX,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-SUPPORT-IN,TRX,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-BILLING-IN,TRX,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
TRX-APPOINTMENT-IN,TRX,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-WHOLESALE-OUT,CAL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-EXPORT-OUT,CAL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-PARTNERS-OUT,CAL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-REORDER-OUT,CAL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-CALLBACK-OUT,CAL,OUT,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-BUYERS-IN,CAL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-EXPORT-IN,CAL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-SUPPORT-IN,CAL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
CAL-APPOINTMENT-IN,CAL,IN,MISSING,NOT_PROVISIONED,FALSE,FALSE,BLOCKED
