canonical_campaign_code,vicidial_campaign_id,business_unit_code,direction,controlled_catalog_rows,canonical_owner,catalog_status,approval_state,external_readback_status,status
SCP-CAREGIVER-OUT,SCPCAREO,SCP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-REORDER-OUT,SCPREORO,SCP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-RETENTION-OUT,SCPRETNO,SCP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-UPSELL-OUT,SCPUPSLO,SCP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-CALLBACK-OUT,SCPCBCKO,SCP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-PRODUCT-IN,SCPPRODI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-ORDER-IN,SCPORDRI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-SUPPORT-IN,SCPSUPPI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-WARRANTY-IN,SCPWARRI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-BILLING-IN,SCPBILLI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-CAREGIVER-IN,SCPCAREI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
SCP-APPOINTMENT-IN,SCPAPPTI,SCP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-NEW-LOAN-OUT,MBLNEWLO,MBL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-DOCUMENTS-OUT,MBLDOCSO,MBL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-OFFER-OUT,MBLOFFRO,MBL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-FUNDING-OUT,MBLFUNDO,MBL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-RENEWAL-OUT,MBLRENEO,MBL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-CALLBACK-OUT,MBLCBCKO,MBL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-LOAN-IN,MBLLOANI,MBL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-DOCUMENTS-IN,MBLDOCSI,MBL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-STATUS-IN,MBLSTATI,MBL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-SUPPORT-IN,MBLSUPPI,MBL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
MBL-APPOINTMENT-IN,MBLAPPTI,MBL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-BUYERS-OUT,RLPBUYRO,RLP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-SELLERS-OUT,RLPSELLO,RLP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-INVESTORS-OUT,RLPINVSO,RLP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-RENTALS-OUT,RLPRENTO,RLP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-FOLLOWUP-OUT,RLPFOLWO,RLP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-CALLBACK-OUT,RLPCBCKO,RLP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-BUYERS-IN,RLPBUYRI,RLP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-SELLERS-IN,RLPSELLI,RLP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-INVESTORS-IN,RLPINVSI,RLP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-PROPERTY-IN,RLPPROPI,RLP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
RLP-APPOINTMENT-IN,RLPAPPTI,RLP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-DONOR-OUT,FTPDONRO,FTP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-SPONSOR-OUT,FTPSPONO,FTP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-PLEDGE-OUT,FTPPLDGO,FTP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-RETENTION-OUT,FTPRETNO,FTP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-CALLBACK-OUT,FTPCBCKO,FTP,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-DONATIONS-IN,FTPDONTI,FTP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-DONOR-SUPPORT-IN,FTPDNSPI,FTP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-SPONSOR-IN,FTPSPONI,FTP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
FTP-APPOINTMENT-IN,FTPAPPTI,FTP,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-SALES-OUT,TRXSALEO,TRX,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-DEMO-OUT,TRXDEMOO,TRX,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-TRIAL-OUT,TRXTRILO,TRX,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-ONBOARDING-OUT,TRXONBDO,TRX,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-RENEWAL-OUT,TRXRENEO,TRX,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-CALLBACK-OUT,TRXCBCKO,TRX,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-SALES-IN,TRXSALEI,TRX,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-DEMO-IN,TRXDEMOI,TRX,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-SUPPORT-IN,TRXSUPPI,TRX,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-BILLING-IN,TRXBILLI,TRX,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
TRX-APPOINTMENT-IN,TRXAPPTI,TRX,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-WHOLESALE-OUT,CALWHSLO,CAL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-EXPORT-OUT,CALEXPTO,CAL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-PARTNERS-OUT,CALPARTO,CAL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-REORDER-OUT,CALREORO,CAL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-CALLBACK-OUT,CALCBCKO,CAL,OUT,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-BUYERS-IN,CALBUYRI,CAL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-EXPORT-IN,CALEXPTI,CAL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-SUPPORT-IN,CALSUPPI,CAL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
CAL-APPOINTMENT-IN,CALAPPTI,CAL,IN,0,cc.disposition.set/cc.disposition,MISSING,BLOCKED,NOT_TESTED,BLOCKED
