layer,module,target_responsibility,current_state,legacy_owner_or_compatibility,recommended_action,status
foundation,codestra_cc_audit,"Append-only audit; access evidence; exports; release evidence",Dependency facade,Legacy audit modules,"Extend with immutable campaign and break-glass evidence",PARTIAL
profile,codestra_cc_profile_acquisition,"Outbound prospecting; qualification; cadence; DNC; closer handoff",Absent,Existing campaign workflows,"Create reusable profile after foundation stabilizes",MISSING
profile,codestra_cc_profile_inbound_sales,"Inbound sales; intent; qualification; same-campaign transfer",Absent,Existing campaign workflows,"Create reusable profile after foundation stabilizes",MISSING
profile,codestra_cc_profile_support,"Tickets; severity; SLA; troubleshooting; escalation; FCR",Absent,Existing support workflows,"Create reusable profile after Helpdesk boundary",MISSING
profile,codestra_cc_profile_billing,"Billing inquiry; verification; dispute; finance handoff",Absent,Existing campaign workflows,"Create reusable profile with minimized finance data",MISSING
profile,codestra_cc_profile_retention,"Save reason; offers; churn; renewal; cooling periods",Absent,Existing campaign workflows,"Create reusable profile after compliance policy",MISSING
profile,codestra_cc_profile_callback,"Callbacks; time zone; ownership; reminders; recovery",Absent,"codestra_appointments and callback models","Compose existing callback implementation; no shared callback team",MISSING
profile,codestra_cc_profile_appointment,"Types; availability; reminders; APPT_PREP; outcomes",Absent,codestra_appointments,"Compose existing appointments and pop-outs behind scope",MISSING
profile,codestra_cc_profile_documents,"Checklist; secure upload; completeness; reminders",Absent,Existing attachment/document flows,"Create after attachment isolation is certified",MISSING
profile,codestra_cc_profile_compliance_review,"Consent; suitability; authority review; hold/release",Absent,call_center_compliance,"Compose compatible compliance controls",MISSING
profile,codestra_cc_profile_fulfillment,"Delivery; status; exceptions; follow-up",Absent,Existing campaign workflows,"Create reusable profile after core workflows",MISSING
profile,codestra_cc_profile_dispatch,"Dispatch; live exceptions; escalation; handoff",Absent,Existing logistics workflows,"Create reusable profile after call/transfer domain",MISSING
profile,codestra_cc_profile_donor,"Pledge; donation; receipt; recurring gift; suppression",Absent,Existing campaign workflows,"Create reusable profile after compliance and payment safety",MISSING
profile,codestra_cc_profile_export,"Export qualification; packaging; inspection; logistics; trade documents",Absent,Existing campaign workflows,"Create reusable profile with export authorization controls",MISSING
overlay,codestra_cc_moy_logistics,"Moy Logistics domain composition",Absent,codestra_campaign_crm_os,"Create thin overlay; never duplicate security",MISSING
overlay,codestra_cc_codestra_services,"Codestra services domain composition",Absent,codestra_campaign_crm_os,"Create thin overlay; never duplicate security",MISSING
overlay,codestra_cc_senior_products,"Senior Citizen Products domain composition",Absent,codestra_campaign_crm_os,"Create thin overlay; never duplicate security",MISSING
overlay,codestra_cc_moneybee_loans,"MoneyBee Business Loans domain composition",Absent,codestra_campaign_crm_os,"Create thin overlay with financial-duty separation",MISSING
overlay,codestra_cc_rlp_real_estate,"RLP real-estate domain composition",Absent,codestra_campaign_crm_os,"Create thin overlay with minimized financial-review data",MISSING
overlay,codestra_cc_for_the_people,"For the People domain composition",Absent,codestra_campaign_crm_os,"Create thin donor overlay",MISSING
overlay,codestra_cc_tradex,"TradeX domain composition",Absent,codestra_campaign_crm_os,"Create thin overlay with suitability controls",MISSING
overlay,codestra_cc_calderon_farm,"Calderon Farm domain composition",Absent,codestra_campaign_crm_os,"Create thin export/logistics overlay",MISSING
